
Name                      Type
----                      ----
frmAdminControls             3
frmAdminEmail                3
frmCreateDeleteUser          3
frmCreateWarehouse           3
frmEditUser                  3
frmReAuthGate                3
frmRetireMigrateWarehouse    3
frmSetupTesterStation        3
modAddinsPublish             1
modAdmin                     1
modAdminConsole              1
modAdminInit                 1
modRibbonGenerated           1
modTesterBundle              1
modTesterSetup               1
Sheet1                     100
Sheet2                     100
ThisWorkbook               100
ufAdminItemSearch            3
ufDynItemSearchTemplate      3



